Date,Collector,Year,Season,Site,SVL,Total_length,Sex
12-Oct-14,Sutherland,2014,Fall,D,26,54,unknown
12-Oct-14,Sutherland,2014,Fall,D,25,48,unknown
12-Oct-14,Sutherland,2014,Fall,D,31,54,unknown
12-Oct-14,Sutherland,2014,Fall,D,35,72,unknown
12-Oct-14,Sutherland,2014,Fall,D,33,79,unknown
1-Nov-14,Sutherland,2014,Fall,D,35,68,unknown
1-Nov-14,Sutherland,2014,Fall,D,36,74,unknown
1-Nov-14,Sutherland,2014,Fall,D,35,76,unknown
1-Nov-14,Sutherland,2014,Fall,D,36,82,unknown
8-Nov-14,Sutherland,2014,Fall,D,17,30,unknown
8-Nov-14,Sutherland,2014,Fall,D,24,45,unknown
8-Nov-14,Sutherland,2014,Fall,D,27,60,unknown
14-Sep-14,Sutherland,2014,Fall,D,33,62,unknown
1-Nov-14,Sutherland,2014,Fall,D,39,71,unknown
